,1,2,3,4,5,6,7,8,9,10
1,1,0.23836564731139803,0,0.046524210519923545,0.11306675421666135,0.07658395810674837,0.12087344460380704,0.11877113736973438,0.09304842103984709,0.09534625892455921
2,0.23836564731139803,0.9999999999999998,0,0.048795003647426664,0.07905694150420949,0.08032193289024989,0.08451542547285164,0.16609095970747995,0.048795003647426664,0.04999999999999999
3,0,0,1,0.09523809523809523,0.23145502494313785,0,0,0,0,0.09759000729485333
4,0.046524210519923545,0.048795003647426664,0.09523809523809523,1,0.23145502494313785,0,0.08247860988423225,0.08104408984731079,0,0
5,0.11306675421666135,0.07905694150420949,0.23145502494313785,0.23145502494313785,0.9999999999999998,0.09525009525014287,0.06681531047810609,0.16413304107465318,0.03857583749052298,0.03952847075210474
6,0.07658395810674837,0.08032193289024989,0,0,0.09525009525014287,1.0000000000000002,0.1018266349953196,0.10005560189476052,0.039193090083481034,0.04016096644512494
7,0.12087344460380704,0.08451542547285164,0,0.08247860988423225,0.06681531047810609,0.1018266349953196,0.9999999999999999,0.3158380828546184,0.041239304942116126,0.08451542547285164
8,0.11877113736973438,0.16609095970747995,0,0.08104408984731079,0.16413304107465318,0.10005560189476052,0.3158380828546184,1.0000000000000002,0.040522044923655395,0.041522739926869986
9,0.09304842103984709,0.048795003647426664,0,0,0.03857583749052298,0.039193090083481034,0.041239304942116126,0.040522044923655395,1,0.34156502553198664
10,0.09534625892455921,0.04999999999999999,0.09759000729485333,0,0.03952847075210474,0.04016096644512494,0.08451542547285164,0.041522739926869986,0.34156502553198664,0.9999999999999998
